hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
37, 0.00000, 219.377, -0.0039893, 219.377, -120.004, 219.377, 119.996, 13.038, -179.942, 13.038, 60.0585, 13.038, -59.9415
38, 0.00000, 219.393, 0.000238568, 219.393, -120, 219.393, 120, 13.0373, -179.937, 13.0373, 60.0626, 13.0373, -59.9374
39, 0.00000, 219.393, 0.000241655, 219.393, -120, 219.393, 120, 13.2059, -179.937, 13.2059, 60.0635, 13.2059, -59.9365
40, 0.00000, 219.393, 0.000234712, 219.393, -120, 219.393, 120, 12.8266, -179.938, 12.8266, 60.0616, 12.8266, -59.9384
41, 0.00000, 219.377, -0.00404118, 219.377, -120.004, 219.377, 119.996, 10.2033, -179.955, 10.2033, 60.0448, 10.2033, -59.9552
42, 0.00000, 219.377, -0.00411874, 219.377, -120.004, 219.377, 119.996, 5.96489, -179.976, 5.96489, 60.0244, 5.96489, -59.9756
43, 0.00000, 219.377, -0.00398184, 219.377, -120.004, 219.377, 119.996, 13.4458, -179.94, 13.4458, 60.0604, 13.4458, -59.9396
44, 0.00000, 219.377, -0.00398197, 219.377, -120.004, 219.377, 119.996, 13.4385, -179.94, 13.4385, 60.0604, 13.4385, -59.9396
45, 0.00000, 219.377, -0.00397125, 219.377, -120.004, 219.377, 119.996, 14.0241, -179.937, 14.0241, 60.0632, 14.0241, -59.9368
46, 0.00000, 219.377, -0.00395518, 219.377, -120.004, 219.377, 119.996, 14.9019, -179.933, 14.9019, 60.0674, 14.9019, -59.9326
47, 0.00000, 219.376, -0.00422787, 219.376, -120.004, 219.376, 119.996, 1.07722E-012, -171.656, 2.81809E-013, -146.31, 5.08423E-013, 63.4349
48, 0.00000, 219.393, 1.93166E-008, 219.393, -120, 219.393, 120, 1.31066E-013, -32.8285, 8.19099E-013, 3.97938, 2.27374E-013, 0
