hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
13, 0.00000, 219.378, -0.00305019, 219.378, -120.003, 219.378, 119.997, 0, 0, 321.766, -31.7914, 321.766, -151.791, 321.766, 88.2086, 6.27934E-008, -151.791
14, 0.00000, 219.394, 0.00117764, 219.394, -119.999, 219.394, 120.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15, 0.00000, 219.394, 0.00119269, 219.394, -119.999, 219.394, 120.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, 0.00000, 219.394, 0.00115885, 219.394, -119.999, 219.394, 120.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17, 0.00000, 219.377, -0.00330387, 219.377, -120.003, 219.377, 119.997, 0, 0, 321.766, -31.7916, 321.766, -151.792, 321.766, 88.2084, 6.27935E-008, -151.792
18, 0.00000, 219.377, -0.00368553, 219.377, -120.004, 219.377, 119.996, 0, 0, 321.767, -31.792, 321.767, -151.792, 321.767, 88.208, 6.27935E-008, -151.792
19, 0.00000, 219.378, -0.00301363, 219.378, -120.003, 219.378, 119.997, 0, 0, 321.766, -31.7913, 321.766, -151.791, 321.766, 88.2087, 6.27934E-008, -151.791
20, 0.00000, 219.378, -0.00301442, 219.378, -120.003, 219.378, 119.997, 0, 0, 321.766, -31.7913, 321.766, -151.791, 321.766, 88.2087, 6.27933E-008, -151.791
21, 0.00000, 219.378, -0.0029621, 219.378, -120.003, 219.378, 119.997, 0, 0, 321.766, -31.7913, 321.766, -151.791, 321.766, 88.2087, 6.27934E-008, -151.791
22, 0.00000, 219.378, -0.00288387, 219.378, -120.003, 219.378, 119.997, 0, 0, 321.766, -31.7912, 321.766, -151.791, 321.766, 88.2088, 6.27933E-008, -151.791
23, 0.00000, 219.376, -0.00422787, 219.376, -120.004, 219.376, 119.996, 0, 0, 321.768, -31.7926, 321.768, -151.793, 321.768, 88.2074, 6.27938E-008, -151.793
24, 0.00000, 219.393, 1.93166E-008, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
25, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
26, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27, 0.00000, 219.392, -0.00144252, 219.392, -120.001, 219.392, 119.999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28, 0.00000, 219.392, -0.00144249, 219.392, -120.001, 219.392, 119.999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
29, 0.00000, 219.392, -0.00144249, 219.392, -120.001, 219.392, 119.999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30, 0.00000, 219.392, -0.00144249, 219.392, -120.001, 219.392, 119.999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31, 0.00000, 219.377, -0.00408859, 219.377, -120.004, 219.377, 119.996, 0, 0, 321.767, -31.7924, 321.767, -151.792, 321.767, 88.2076, 6.27936E-008, -151.792
32, 0.00000, 219.393, 0.000277887, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
33, 0.00000, 219.393, 0.000399347, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
34, 0.00000, 219.394, 0.000649083, 219.394, -119.999, 219.394, 120.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
35, 0.00000, 219.377, -0.00321726, 219.377, -120.003, 219.377, 119.997, 0, 0, 321.766, -31.7915, 321.766, -151.792, 321.766, 88.2085, 6.27933E-008, -151.792
36, 0.00000, 219.377, -0.00311752, 219.377, -120.003, 219.377, 119.997, 0, 0, 321.766, -31.7914, 321.766, -151.791, 321.766, 88.2086, 6.27934E-008, -151.791
37, 0.00000, 219.378, -0.00305021, 219.378, -120.003, 219.378, 119.997, 0, 0, 321.766, -31.7914, 321.766, -151.791, 321.766, 88.2086, 6.27934E-008, -151.791
38, 0.00000, 219.394, 0.00117764, 219.394, -119.999, 219.394, 120.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
39, 0.00000, 219.394, 0.00119268, 219.394, -119.999, 219.394, 120.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40, 0.00000, 219.394, 0.00115886, 219.394, -119.999, 219.394, 120.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41, 0.00000, 219.377, -0.00330387, 219.377, -120.003, 219.377, 119.997, 0, 0, 321.766, -31.7916, 321.766, -151.792, 321.766, 88.2084, 6.27936E-008, -151.792
42, 0.00000, 219.377, -0.00368553, 219.377, -120.004, 219.377, 119.996, 0, 0, 321.767, -31.792, 321.767, -151.792, 321.767, 88.208, 6.27935E-008, -151.792
43, 0.00000, 219.378, -0.00301364, 219.378, -120.003, 219.378, 119.997, 0, 0, 321.766, -31.7913, 321.766, -151.791, 321.766, 88.2087, 6.27934E-008, -151.791
44, 0.00000, 219.378, -0.00301442, 219.378, -120.003, 219.378, 119.997, 0, 0, 321.766, -31.7913, 321.766, -151.791, 321.766, 88.2087, 6.27933E-008, -151.791
45, 0.00000, 219.378, -0.0029621, 219.378, -120.003, 219.378, 119.997, 0, 0, 321.766, -31.7913, 321.766, -151.791, 321.766, 88.2087, 6.27935E-008, -151.791
46, 0.00000, 219.378, -0.00288387, 219.378, -120.003, 219.378, 119.997, 0, 0, 321.766, -31.7912, 321.766, -151.791, 321.766, 88.2088, 6.27933E-008, -151.791
47, 0.00000, 219.376, -0.00422787, 219.376, -120.004, 219.376, 119.996, 0, 0, 321.768, -31.7926, 321.768, -151.793, 321.768, 88.2074, 6.27938E-008, -151.793
48, 0.00000, 219.393, 1.93166E-008, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
